event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_025,60.000,2.833
q1_025,64.077,3.500
face_075,76.359,3.141
q1_075,80.641,3.500
face_000,85.077,3.500
q1_000,89.949,3.500
face_050,97.218,2.269
q1_050,100.474,3.500
face_100,109.269,2.474
q1_100,112.551,3.500
prompt,123.962,5.000
face_025,128.962,2.064
q0_025,132.449,3.500
face_050,140.808,2.731
q0_050,144.397,3.500
face_000,156.244,1.603
q0_000,159.346,3.500
face_100,169.449,2.782
q0_100,173.167,3.500
face_075,181.308,2.115
q0_075,184.051,3.500
prompt,188.705,5.000
face_000,193.705,3.090
q1_000,198.141,3.500
face_075,209.333,2.885
q1_075,212.821,3.500
face_025,224.885,1.910
q1_025,227.628,3.500
face_100,231.846,2.321
q1_100,234.846,3.500
face_050,242.551,2.679
q1_050,246.321,3.500
prompt,252.500,5.000
face_025,257.500,1.962
q0_025,260.346,3.500
face_000,266.308,2.013
q0_000,269.513,3.500
face_050,276.346,2.218
q0_050,279.526,3.500
face_075,288.103,1.808
q0_075,290.974,3.500
face_100,297.590,3.244
q0_100,301.564,3.500
prompt,311.885,5.000
face_100,316.885,3.346
q1_100,320.987,3.500
face_025,332.615,1.859
q1_025,335.026,3.500
face_075,344.910,2.936
q1_075,349.321,3.500
face_050,360.077,2.423
q1_050,363.769,3.500
face_000,367.769,3.038
q1_000,371.462,3.500
prompt,380.910,5.000
face_075,385.910,2.372
q0_075,388.859,3.500
face_050,394.385,3.397
q0_050,398.821,3.500
face_100,404.128,3.449
q0_100,408.974,3.500
face_000,419.949,1.500
q0_000,422.231,3.500
face_025,427.321,1.654
q0_025,430.090,3.500
prompt,436.487,5.000
face_075,441.487,2.526
q1_075,444.923,3.500
face_100,454.154,3.295
q1_100,458.744,3.500
face_050,471.244,1.705
q1_050,474.269,3.500
face_000,481.756,2.987
q1_000,485.962,3.500
face_025,491.705,2.628
q1_025,494.859,3.500
prompt,501.910,5.000
face_100,506.910,2.577
q0_100,510.192,3.500
face_050,519.205,1.551
q0_050,522.205,3.500
face_075,532.744,3.192
q0_075,536.949,3.500
face_000,544.872,2.167
q0_000,548.205,3.500
face_025,557.872,1.756
q0_025,560.128,3.500
