event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_075,60.000,2.577
q1_075,63.282,3.500
face_000,72.949,1.756
q1_000,75.615,3.500
face_100,81.795,2.218
q1_100,85.231,3.500
face_050,90.103,1.551
q1_050,92.410,3.500
face_025,101.423,1.962
q1_025,104.346,3.500
prompt,116.410,5.000
face_025,121.410,1.603
q0_025,124.462,3.500
face_100,136.090,3.449
q0_100,140.115,3.500
face_000,150.872,3.244
q0_000,155.513,3.500
face_075,164.308,1.705
q0_075,167.385,3.500
face_050,173.782,2.679
q0_050,177.090,3.500
prompt,184.577,5.000
face_050,189.577,2.269
q0_050,192.731,3.500
face_000,198.474,3.141
q0_000,202.474,3.500
face_075,213.885,2.628
q0_075,217.013,3.500
face_025,226.244,3.090
q0_025,230.346,3.500
face_100,235.436,2.885
q0_100,239.462,3.500
prompt,251.962,5.000
face_050,256.962,1.910
q1_050,259.551,3.500
face_000,268.128,2.936
q1_000,272.359,3.500
face_100,276.577,2.731
q1_100,280.474,3.500
face_025,292.756,2.115
q1_025,295.603,3.500
face_075,303.744,2.372
q1_075,307.231,3.500
prompt,313.192,5.000
face_100,318.192,2.423
q1_100,321.808,3.500
face_075,332.128,3.346
q1_075,336.897,3.500
face_000,340.897,1.859
q1_000,343.821,3.500
face_025,351.090,3.038
q1_025,355.603,3.500
face_050,363.526,3.192
q1_050,367.808,3.500
prompt,377.256,5.000
face_050,382.256,2.526
q0_050,385.590,3.500
face_000,390.244,2.782
q0_000,393.577,3.500
face_100,404.115,2.474
q0_100,407.833,3.500
face_025,417.718,3.500
q0_025,422.051,3.500
face_075,433.897,2.987
q0_075,437.923,3.500
prompt,444.974,5.000
face_075,449.974,2.167
q0_075,453.410,3.500
face_000,458.936,3.295
q0_000,462.833,3.500
face_025,474.026,2.013
q0_025,477.538,3.500
face_050,485.897,1.500
q0_050,487.923,3.500
face_100,498.897,1.808
q0_100,502.051,3.500
prompt,506.487,5.000
face_050,511.487,3.397
q1_050,515.538,3.500
face_000,525.641,2.064
q1_000,528.641,3.500
face_075,536.346,2.833
q1_075,539.962,3.500
face_100,545.269,2.321
q1_100,548.577,3.500
face_025,555.410,1.654
q1_025,558.385,3.500
