event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_050,60.000,2.987
q1_050,63.846,3.500
face_000,70.679,2.782
q1_000,74.115,3.500
face_075,78.987,1.910
q1_075,82.115,3.500
face_025,91.128,2.679
q1_025,94.718,3.500
face_100,100.679,2.269
q1_100,103.500,3.500
prompt,112.731,5.000
face_050,117.731,2.115
q0_050,120.808,3.500
face_075,129.385,2.167
q0_075,132.744,3.500
face_000,145.244,2.936
q0_000,149.603,3.500
face_025,158.397,1.654
q0_025,161.115,3.500
face_100,165.769,1.859
q0_100,168.410,3.500
prompt,174.590,5.000
face_000,179.590,2.526
q1_000,182.795,3.500
face_025,186.795,1.603
q1_025,189.410,3.500
face_075,200.603,3.346
q1_075,205.090,3.500
face_050,210.179,3.244
q1_050,214.128,3.500
face_100,225.756,2.885
q1_100,229.141,3.500
prompt,233.359,5.000
face_050,238.359,2.064
q0_050,241.667,3.500
face_100,250.026,3.141
q0_100,254.641,3.500
face_000,264.962,1.705
q0_000,267.269,3.500
face_075,275.410,1.500
q0_075,278.282,3.500
face_025,284.679,3.500
q0_025,289.500,3.500
prompt,297.205,5.000
face_075,302.205,3.192
q1_075,306.282,3.500
face_050,316.821,2.577
q1_050,320.026,3.500
face_000,327.077,2.833
q1_000,330.718,3.500
face_025,338.205,2.013
q1_025,341.615,3.500
face_100,351.064,3.038
q1_100,355.551,3.500
prompt,367.615,5.000
face_050,372.615,2.218
q0_050,375.564,3.500
face_100,380.872,3.295
q0_100,385.436,3.500
face_000,392.051,2.321
q0_000,394.949,3.500
face_075,400.474,1.962
q0_075,403.372,3.500
face_025,413.038,3.397
q0_025,417.474,3.500
prompt,427.359,5.000
face_025,432.359,2.423
q1_025,436.077,3.500
face_000,448.359,2.731
q1_000,452.179,3.500
face_075,457.923,3.449
q1_075,462.538,3.500
face_050,472.641,2.474
q1_050,475.949,3.500
face_100,486.923,2.628
q1_100,490.897,3.500
prompt,498.167,5.000
face_000,503.167,1.756
q0_000,506.038,3.500
face_100,516.795,1.808
q0_100,519.590,3.500
face_050,531.436,3.090
q0_050,535.282,3.500
face_075,546.692,2.372
q0_075,550.564,3.500
face_025,555.000,1.551
q0_025,557.077,3.500
