event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_100,60.000,1.603
q0_100,63.000,3.500
face_000,68.526,2.782
q0_000,71.962,3.500
face_050,80.538,1.756
q0_050,83.769,3.500
face_025,94.744,1.910
q0_025,97.410,3.500
face_075,105.333,2.423
q0_075,108.564,3.500
prompt,120.192,5.000
face_100,125.192,3.192
q1_100,129.833,3.500
face_025,141.026,3.141
q1_025,144.846,3.500
face_000,149.282,2.628
q1_000,153.205,3.500
face_050,159.385,2.218
q1_050,162.564,3.500
face_075,172.885,3.500
q1_075,177.218,3.500
prompt,181.436,5.000
face_100,186.436,2.013
q0_100,189.872,3.500
face_075,196.923,2.372
q0_075,200.513,3.500
face_000,205.603,2.936
q0_000,209.090,3.500
face_050,220.500,2.679
q0_050,223.705,3.500
face_025,235.987,2.269
q0_025,238.859,3.500
prompt,243.731,5.000
face_050,248.731,3.449
q1_050,253.218,3.500
face_000,262.885,1.705
q1_000,265.295,3.500
face_100,274.308,2.987
q1_100,278.538,3.500
face_025,290.603,2.064
q1_025,293.295,3.500
face_075,302.090,1.859
q1_075,305.038,3.500
prompt,311.654,5.000
face_025,316.654,3.038
q1_025,320.628,3.500
face_000,325.936,3.346
q1_000,330.192,3.500
face_075,342.692,2.833
q1_075,346.256,3.500
face_050,353.090,2.526
q1_050,356.936,3.500
face_100,364.423,2.321
q1_100,367.321,3.500
prompt,373.064,5.000
face_050,378.064,1.808
q0_050,381.038,3.500
face_100,387.000,1.654
q0_100,389.641,3.500
face_075,398.872,1.551
q0_075,401.923,3.500
face_025,412.679,2.167
q0_025,416.038,3.500
face_000,423.308,2.474
q0_000,426.282,3.500
prompt,436.385,5.000
face_050,441.385,3.397
q0_050,445.897,3.500
face_075,454.256,1.962
q0_075,457.077,3.500
face_025,468.923,3.295
q0_025,473.564,3.500
face_000,481.269,3.244
q0_000,485.295,3.500
face_100,493.436,1.500
q0_100,495.821,3.500
prompt,505.705,5.000
face_100,510.705,2.577
q1_100,514.346,3.500
face_025,523.795,2.885
q1_025,527.692,3.500
face_075,532.346,3.090
q1_075,536.808,3.500
face_000,543.205,2.731
q1_000,547.205,3.500
face_050,551.205,2.115
q1_050,554.462,3.500
