event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_050,60.000,1.808
q1_050,62.538,3.500
face_100,72.641,3.295
q1_100,76.538,3.500
face_075,84.244,3.346
q1_075,88.833,3.500
face_000,99.154,2.628
q1_000,103.154,3.500
face_025,107.808,3.192
q1_025,112.321,3.500
prompt,121.333,5.000
face_050,126.333,3.449
q0_050,130.282,3.500
face_100,137.115,2.115
q0_100,140.321,3.500
face_075,149.769,2.372
q0_075,152.718,3.500
face_000,161.077,2.526
q0_000,164.256,3.500
face_025,171.308,3.397
q0_025,175.667,3.500
prompt,179.885,5.000
face_075,184.885,3.038
q1_075,188.756,3.500
face_000,194.718,2.167
q1_000,198.308,3.500
face_100,209.282,2.423
q1_100,212.462,3.500
face_025,217.769,2.013
q1_025,220.308,3.500
face_050,226.051,2.731
q1_050,229.846,3.500
prompt,239.731,5.000
face_100,244.731,1.705
q0_100,247.346,3.500
face_025,252.218,2.269
q0_025,255.167,3.500
face_000,267.013,1.603
q0_000,269.885,3.500
face_075,281.077,2.833
q0_075,284.615,3.500
face_050,295.154,1.756
q0_050,298.308,3.500
prompt,305.577,5.000
face_075,310.577,2.218
q0_075,314.295,3.500
face_100,322.218,2.064
q0_100,325.449,3.500
face_050,331.846,1.551
q0_050,334.692,3.500
face_025,343.269,2.936
q0_025,347.064,3.500
face_000,356.295,1.500
q0_000,358.782,3.500
prompt,363.872,5.000
face_050,368.872,1.654
q1_050,372.000,3.500
face_025,379.487,3.141
q1_025,383.821,3.500
face_075,388.256,2.577
q1_075,391.769,3.500
face_100,404.269,2.987
q1_100,408.705,3.500
face_000,414.885,1.962
q1_000,417.885,3.500
prompt,428.641,5.000
face_000,433.641,2.679
q1_000,437.333,3.500
face_050,448.744,1.910
q1_050,451.205,3.500
face_025,462.833,2.885
q1_025,466.859,3.500
face_100,478.923,2.474
q1_100,482.615,3.500
face_075,494.897,2.321
q1_075,498.564,3.500
prompt,505.179,5.000
face_100,510.179,1.859
q0_100,512.667,3.500
face_000,516.667,3.244
q0_000,521.026,3.500
face_025,529.167,3.090
q0_025,533.064,3.500
face_050,541.859,2.782
q0_050,545.526,3.500
face_075,551.051,3.500
q0_075,555.333,3.500
