event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_025,60.000,1.808
q0_025,63.103,3.500
face_000,71.026,2.321
q0_000,74.256,3.500
face_100,86.321,2.167
q0_100,89.244,3.500
face_050,101.744,2.423
q0_050,104.949,3.500
face_075,112.654,3.141
q0_075,117.141,3.500
prompt,121.577,5.000
face_100,126.577,2.218
q1_100,129.654,3.500
face_050,141.500,1.705
q1_050,143.936,3.500
face_000,149.462,3.449
q1_000,153.923,3.500
face_075,164.026,2.987
q1_075,168.179,3.500
face_025,177.846,2.013
q1_025,180.538,3.500
prompt,187.808,5.000
face_075,192.808,2.628
q0_075,196.526,3.500
face_050,207.500,3.500
q0_050,211.577,3.500
face_025,222.987,2.372
q0_025,226.679,3.500
face_000,238.962,1.654
q0_000,241.808,3.500
face_100,246.679,1.910
q0_100,249.295,3.500
prompt,253.295,5.000
face_100,258.295,2.731
q1_100,262.064,3.500
face_050,270.205,2.833
q1_050,273.590,3.500
face_025,280.423,3.295
q1_025,284.782,3.500
face_000,294.667,3.397
q1_000,298.667,3.500
face_075,309.423,2.679
q1_075,312.756,3.500
prompt,316.974,5.000
face_000,321.974,1.756
q1_000,325.000,3.500
face_075,335.321,1.551
q1_075,338.295,3.500
face_100,346.872,2.885
q1_100,350.564,3.500
face_050,361.103,2.064
q1_050,364.051,3.500
face_025,375.679,1.500
q1_025,378.141,3.500
prompt,386.936,5.000
face_050,391.936,2.577
q0_050,395.731,3.500
face_000,402.782,3.244
q0_000,407.397,3.500
face_100,413.577,2.115
q0_100,416.628,3.500
face_075,425.641,1.859
q0_075,428.744,3.500
face_025,439.936,2.526
q0_025,443.090,3.500
prompt,449.487,5.000
face_025,454.487,2.782
q1_025,458.256,3.500
face_050,464.000,2.474
q1_050,467.615,3.500
face_075,472.705,2.936
q1_075,477.141,3.500
face_000,482.449,2.269
q1_000,485.218,3.500
face_100,493.577,3.346
q1_100,498.372,3.500
prompt,507.603,5.000
face_075,512.603,3.192
q0_075,516.628,3.500
face_050,523.244,1.603
q0_050,525.962,3.500
face_000,535.410,3.038
q0_000,539.923,3.500
face_025,545.885,1.962
q0_025,549.244,3.500
face_100,556.731,3.090
q0_100,560.346,3.500
