event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_050,60.000,1.500
q0_050,62.872,3.500
face_000,71.449,1.551
q0_000,73.859,3.500
face_075,82.654,1.603
q0_075,85.474,3.500
face_100,91.000,2.885
q0_100,94.718,3.500
face_025,103.077,1.705
q0_025,105.872,3.500
prompt,117.500,5.000
face_075,122.500,1.654
q1_075,125.192,3.500
face_050,130.500,2.423
q1_050,134.321,3.500
face_025,143.551,1.962
q1_025,146.679,3.500
face_100,156.346,3.397
q1_100,160.987,3.500
face_000,170.436,1.808
q1_000,173.667,3.500
prompt,181.372,5.000
face_000,186.372,3.038
q0_000,190.013,3.500
face_100,200.333,2.013
q0_100,203.359,3.500
face_075,210.410,3.500
q0_075,214.410,3.500
face_050,221.679,1.910
q0_050,225.064,3.500
face_025,229.936,2.987
q0_025,234.423,3.500
prompt,240.603,5.000
face_050,245.603,3.090
q1_050,249.449,3.500
face_025,260.205,2.526
q1_025,263.872,3.500
face_075,275.282,2.269
q1_075,278.744,3.500
face_000,282.744,2.782
q1_000,286.462,3.500
face_100,298.962,3.346
q1_100,303.577,3.500
prompt,308.013,5.000
face_025,313.013,3.449
q1_025,316.987,3.500
face_050,321.205,2.372
q1_050,324.205,3.500
face_000,331.038,2.321
q1_000,334.038,3.500
face_100,340.654,2.679
q1_100,344.397,3.500
face_075,350.795,3.295
q1_075,355.000,3.500
prompt,367.282,5.000
face_000,372.282,1.859
q0_000,375.128,3.500
face_025,379.782,2.628
q0_025,383.859,3.500
face_075,395.705,3.192
q0_075,399.705,3.500
face_050,410.679,2.936
q0_050,414.936,3.500
face_100,426.128,3.141
q0_100,430.615,3.500
prompt,439.628,5.000
face_000,444.628,2.218
q1_000,447.628,3.500
face_050,455.551,2.115
q1_050,458.397,3.500
face_075,468.936,2.577
q1_075,472.218,3.500
face_025,482.103,2.167
q1_025,485.154,3.500
face_100,497.218,2.731
q1_100,501.064,3.500
prompt,511.167,5.000
face_050,516.167,1.756
q0_050,518.500,3.500
face_025,525.987,3.244
q0_025,529.782,3.500
face_100,537.923,2.474
q0_100,541.359,3.500
face_075,546.449,2.064
q0_075,549.808,3.500
face_000,555.551,2.833
q0_000,559.038,3.500
