event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_050,60.000,2.833
q1_050,64.179,3.500
face_100,72.103,3.295
q1_100,76.308,3.500
face_025,84.449,1.500
q1_025,87.397,3.500
face_000,93.359,3.090
q1_000,97.923,3.500
face_075,105.410,1.603
q1_075,108.410,3.500
prompt,115.679,5.000
face_100,120.679,2.679
q0_100,124.064,3.500
face_075,136.564,3.500
q0_075,141.333,3.500
face_050,152.962,2.731
q0_050,156.526,3.500
face_025,161.833,3.244
q0_025,165.628,3.500
face_000,176.821,2.013
q0_000,179.564,3.500
prompt,184.000,5.000
face_100,189.000,1.962
q1_100,192.385,3.500
face_075,204.231,1.705
q1_075,206.974,3.500
face_050,213.808,1.756
q1_050,217.064,3.500
face_025,226.295,2.782
q1_025,230.372,3.500
face_000,234.372,2.526
q1_000,237.551,3.500
prompt,248.090,5.000
face_000,253.090,3.141
q0_000,256.808,3.500
face_025,267.782,3.038
q0_025,272.013,3.500
face_100,276.231,2.372
q0_100,279.718,3.500
face_050,289.821,2.269
q0_050,292.718,3.500
face_075,302.603,2.474
q0_075,305.936,3.500
prompt,310.808,5.000
face_025,315.808,2.115
q1_025,318.885,3.500
face_100,330.949,2.885
q1_100,334.641,3.500
face_050,345.397,2.423
q1_050,348.321,3.500
face_075,354.718,3.449
q1_075,358.769,3.500
face_000,367.564,1.808
q1_000,370.615,3.500
prompt,382.897,5.000
face_075,387.897,3.346
q0_075,391.769,3.500
face_050,400.782,2.628
q0_050,404.295,3.500
face_000,408.949,3.397
q0_000,413.487,3.500
face_025,422.064,2.064
q0_025,425.218,3.500
face_100,433.577,2.577
q0_100,436.910,3.500
prompt,443.526,5.000
face_025,448.526,3.192
q0_025,453.038,3.500
face_050,459.218,2.987
q0_050,463.192,3.500
face_000,472.641,1.654
q0_000,474.974,3.500
face_100,480.718,2.167
q0_100,483.821,3.500
face_075,493.487,2.936
q0_075,497.205,3.500
prompt,508.615,5.000
face_075,513.615,2.218
q1_075,517.000,3.500
face_025,522.090,2.321
q1_025,525.474,3.500
face_000,531.000,1.551
q1_000,533.769,3.500
face_050,540.821,1.859
q1_050,543.692,3.500
face_100,551.397,1.910
q1_100,554.679,3.500
