event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_050,60.000,3.090
q0_050,64.487,3.500
face_000,76.769,2.936
q0_000,81.000,3.500
face_025,91.103,2.526
q0_025,94.974,3.500
face_075,106.821,3.141
q0_075,110.821,3.500
face_100,123.321,2.115
q0_100,125.987,3.500
prompt,138.051,5.000
face_025,143.051,2.372
q1_025,146.179,3.500
face_075,157.154,2.013
q1_075,160.128,3.500
face_100,165.872,2.167
q1_100,169.308,3.500
face_000,180.064,1.603
q1_000,182.833,3.500
face_050,189.667,3.192
q1_050,194.282,3.500
prompt,204.603,5.000
face_000,209.603,2.885
q1_000,213.397,3.500
face_050,217.615,1.859
q1_050,220.974,3.500
face_100,226.936,2.321
q1_100,230.705,3.500
face_025,239.282,2.679
q1_025,243.333,3.500
face_075,252.564,1.500
q1_075,254.846,3.500
prompt,262.769,5.000
face_100,267.769,2.833
q0_100,271.538,3.500
face_000,282.731,1.910
q0_000,285.731,3.500
face_075,293.000,1.551
q0_075,295.436,3.500
face_025,304.449,2.269
q0_025,307.551,3.500
face_050,317.218,2.731
q0_050,320.603,3.500
prompt,332.231,5.000
face_050,337.231,3.038
q1_050,341.590,3.500
face_075,349.949,3.346
q1_075,353.897,3.500
face_000,358.769,2.628
q1_000,362.410,3.500
face_100,367.064,1.756
q1_100,369.551,3.500
face_025,375.731,1.654
q1_025,378.603,3.500
prompt,388.051,5.000
face_000,393.051,3.449
q0_000,397.179,3.500
face_025,401.179,1.962
q0_025,404.615,3.500
face_050,409.923,1.808
q0_050,412.359,3.500
face_100,423.769,1.705
q0_100,426.538,3.500
face_075,437.077,2.987
q0_075,440.769,3.500
prompt,447.167,5.000
face_075,452.167,3.500
q1_075,456.167,3.500
face_025,460.603,2.423
q1_025,464.141,3.500
face_100,474.026,2.577
q1_100,477.410,3.500
face_000,482.500,3.397
q1_000,486.885,3.500
face_050,493.500,2.064
q1_050,496.603,3.500
prompt,505.397,5.000
face_050,510.397,3.244
q0_050,514.885,3.500
face_025,522.372,2.218
q0_025,525.782,3.500
face_100,533.487,3.295
q0_100,537.923,3.500
face_000,546.064,2.782
q0_000,549.372,3.500
face_075,554.897,2.474
q0_075,557.949,3.500
