event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_000,60.000,2.936
q0_000,64.231,3.500
face_075,72.372,2.474
q0_075,76.269,3.500
face_100,83.103,1.500
q0_100,85.615,3.500
face_025,91.795,2.782
q0_025,95.385,3.500
face_050,102.436,1.962
q0_050,105.487,3.500
prompt,117.987,5.000
face_100,122.987,3.192
q1_100,127.218,3.500
face_075,138.192,3.295
q1_075,142.731,3.500
face_050,152.179,2.321
q1_050,155.077,3.500
face_025,166.269,1.551
q1_025,168.987,3.500
face_000,174.513,3.244
q1_000,178.641,3.500
prompt,183.513,5.000
face_100,188.513,2.167
q1_100,191.231,3.500
face_050,195.231,3.090
q1_050,198.949,3.500
face_000,210.359,2.628
q1_000,213.897,3.500
face_075,219.205,1.910
q1_075,221.821,3.500
face_025,232.141,1.756
q1_025,235.013,3.500
prompt,243.808,5.000
face_025,248.808,2.064
q0_025,251.551,3.500
face_100,262.090,2.269
q0_100,265.013,3.500
face_075,270.103,2.013
q0_075,273.077,3.500
face_050,281.654,2.372
q0_050,285.500,3.500
face_000,289.718,1.705
q0_000,292.205,3.500
prompt,300.564,5.000
face_050,305.564,2.218
q1_050,308.538,3.500
face_000,316.462,3.141
q1_000,320.872,3.500
face_100,333.154,1.603
q1_100,335.744,3.500
face_025,341.487,2.833
q1_025,345.513,3.500
face_075,357.577,3.500
q1_075,361.577,3.500
prompt,368.846,5.000
face_075,373.846,2.115
q0_075,377.308,3.500
face_100,387.192,2.731
q0_100,390.654,3.500
face_050,402.500,2.577
q0_050,406.295,3.500
face_000,413.782,1.654
q0_000,415.962,3.500
face_025,425.628,3.397
q0_025,429.859,3.500
prompt,434.295,5.000
face_100,439.295,3.038
q0_100,443.654,3.500
face_000,454.410,2.679
q0_000,458.487,3.500
face_050,464.449,3.449
q0_050,468.833,3.500
face_025,478.936,3.346
q0_025,483.731,3.500
face_075,488.385,2.987
q0_075,492.744,3.500
prompt,499.359,5.000
face_100,504.359,2.423
q1_100,507.923,3.500
face_000,516.936,1.808
q1_000,520.244,3.500
face_050,531.872,2.526
q1_050,535.256,3.500
face_025,541.654,1.859
q1_025,544.577,3.500
face_075,553.808,2.885
q1_075,557.295,3.500
