event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_050,60.000,2.577
q1_050,63.667,3.500
face_025,73.769,1.808
q1_025,76.718,3.500
face_075,85.077,1.859
q1_075,87.897,3.500
face_000,91.897,1.705
q1_000,94.256,3.500
face_100,105.885,2.782
q1_100,109.885,3.500
prompt,116.064,5.000
face_100,121.064,3.038
q0_100,125.295,3.500
face_000,130.821,1.962
q0_000,133.821,3.500
face_050,141.744,2.679
q0_050,145.436,3.500
face_025,150.744,3.090
q0_025,155.256,3.500
face_075,166.449,2.423
q0_075,170.269,3.500
prompt,179.936,5.000
face_025,184.936,2.474
q0_025,188.859,3.500
face_100,193.949,2.526
q0_100,197.256,3.500
face_050,203.872,2.115
q0_050,206.923,3.500
face_075,211.359,3.449
q0_075,215.385,3.500
face_000,226.141,2.218
q0_000,229.167,3.500
prompt,233.821,5.000
face_025,238.821,2.731
q1_025,243.051,3.500
face_075,252.282,3.295
q1_075,256.564,3.500
face_000,263.397,2.064
q1_000,266.192,3.500
face_050,270.410,3.192
q1_050,274.103,3.500
face_100,283.987,2.321
q1_100,287.218,3.500
prompt,296.013,5.000
face_025,301.013,1.500
q0_025,303.397,3.500
face_075,315.679,2.628
q0_075,319.064,3.500
face_100,326.769,2.372
q0_100,329.667,3.500
face_050,341.513,2.987
q0_050,345.103,3.500
face_000,352.372,1.551
q0_000,355.218,3.500
prompt,364.231,5.000
face_025,369.231,2.936
q1_025,373.538,3.500
face_100,379.282,2.833
q1_100,383.359,3.500
face_000,394.333,2.013
q1_000,397.462,3.500
face_050,408.872,3.500
q1_050,413.231,3.500
face_075,423.769,1.910
q1_075,426.385,3.500
prompt,433.872,5.000
face_075,438.872,2.269
q1_075,442.487,3.500
face_025,447.359,3.244
q1_025,451.872,3.500
face_100,460.013,2.885
q1_100,464.218,3.500
face_000,471.269,3.346
q1_000,475.244,3.500
face_050,485.564,3.397
q1_050,490.436,3.500
prompt,502.500,5.000
face_075,507.500,2.167
q0_075,510.833,3.500
face_025,516.795,1.654
q0_025,519.000,3.500
face_000,525.397,1.756
q0_000,527.833,3.500
face_100,537.282,1.603
q0_100,539.949,3.500
face_050,552.449,3.141
q0_050,556.423,3.500
