event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_025,60.000,2.526
q0_025,63.359,3.500
face_075,72.808,3.244
q0_075,77.372,3.500
face_000,82.244,3.038
q0_000,86.577,3.500
face_100,90.795,1.500
q0_100,92.923,3.500
face_050,98.885,3.090
q0_050,102.628,3.500
prompt,114.474,5.000
face_000,119.474,1.859
q1_000,122.603,3.500
face_100,130.744,3.192
q1_100,134.462,3.500
face_050,143.692,1.603
q1_050,146.410,3.500
face_025,158.910,2.269
q1_025,161.731,3.500
face_075,167.910,2.628
q1_075,171.910,3.500
prompt,183.974,5.000
face_025,188.974,2.679
q1_025,192.538,3.500
face_050,202.859,2.013
q1_050,205.679,3.500
face_075,212.077,3.397
q1_075,216.513,3.500
face_100,224.218,2.782
q1_100,228.218,3.500
face_000,238.103,2.474
q1_000,241.154,3.500
prompt,246.679,5.000
face_025,251.679,3.449
q0_025,256.321,3.500
face_050,267.295,3.141
q0_050,271.577,3.500
face_000,278.410,1.756
q0_000,281.077,3.500
face_075,286.167,1.910
q0_075,289.038,3.500
face_100,293.692,2.833
q0_100,297.308,3.500
prompt,304.577,5.000
face_100,309.577,2.372
q0_100,312.551,3.500
face_050,319.167,3.295
q0_050,323.218,3.500
face_000,328.962,2.731
q0_000,333.038,3.500
face_025,337.038,1.705
q0_025,340.192,3.500
face_075,347.244,2.167
q0_075,350.500,3.500
prompt,354.936,5.000
face_100,359.936,2.936
q1_100,363.885,3.500
face_050,374.641,2.321
q1_050,377.821,3.500
face_075,383.128,1.654
q1_075,385.462,3.500
face_025,394.474,1.551
q1_025,397.192,3.500
face_000,408.385,2.577
q1_000,412.026,3.500
prompt,420.385,5.000
face_000,425.385,3.346
q0_000,430.205,3.500
face_100,439.000,1.808
q0_100,441.513,3.500
face_075,450.090,2.987
q0_075,454.474,3.500
face_025,465.885,2.064
q0_025,469.192,3.500
face_050,478.859,2.115
q0_050,482.397,3.500
prompt,489.885,5.000
face_100,494.885,2.218
q1_100,498.603,3.500
face_075,510.231,2.885
q1_075,513.846,3.500
face_025,524.385,3.500
q1_025,528.385,3.500
face_050,540.667,1.962
q1_050,543.564,3.500
face_000,551.487,2.423
q1_000,554.897,3.500
