event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_000,60.000,3.346
q1_000,64.282,3.500
face_100,71.769,1.859
q1_100,74.846,3.500
face_025,84.949,2.321
q1_025,88.769,3.500
face_050,96.692,1.808
q1_050,99.692,3.500
face_075,108.269,3.295
q1_075,112.115,3.500
prompt,121.346,5.000
face_050,126.346,3.244
q0_050,130.962,3.500
face_025,142.154,3.038
q0_025,146.615,3.500
face_100,152.577,2.269
q0_100,155.500,3.500
face_075,160.154,3.141
q0_075,164.359,3.500
face_000,176.423,2.423
q0_000,179.731,3.500
prompt,190.051,5.000
face_075,195.051,2.474
q1_075,198.974,3.500
face_000,205.590,1.551
q1_000,208.462,3.500
face_050,216.167,2.679
q1_050,219.526,3.500
face_025,224.397,2.013
q1_025,227.449,3.500
face_100,239.077,3.500
q1_100,243.308,3.500
prompt,250.577,5.000
face_025,255.577,2.936
q0_025,259.808,3.500
face_100,267.949,1.962
q0_100,270.718,3.500
face_000,276.462,3.449
q0_000,281.179,3.500
face_050,285.179,2.372
q0_050,288.718,3.500
face_075,294.897,2.833
q0_075,298.513,3.500
prompt,304.910,5.000
face_000,309.910,2.577
q0_000,313.603,3.500
face_025,324.359,1.603
q0_025,326.872,3.500
face_075,339.372,2.115
q0_075,342.833,3.500
face_050,349.667,2.782
q0_050,353.923,3.500
face_100,365.769,2.987
q0_100,369.615,3.500
prompt,379.282,5.000
face_075,384.282,2.885
q1_075,388.308,3.500
face_100,399.718,1.500
q1_100,402.308,3.500
face_050,412.192,2.731
q1_050,415.936,3.500
face_025,420.372,3.090
q1_025,424.859,3.500
face_000,435.397,1.756
q1_000,438.115,3.500
prompt,442.333,5.000
face_075,447.333,2.526
q1_075,450.385,3.500
face_025,461.359,1.910
q1_025,463.897,3.500
face_000,469.205,1.654
q1_000,471.462,3.500
face_100,476.987,2.218
q1_100,479.705,3.500
face_050,488.064,2.628
q1_050,491.269,3.500
prompt,500.282,5.000
face_075,505.282,3.397
q0_075,509.385,3.500
face_050,521.667,2.167
q0_050,524.590,3.500
face_100,533.385,2.064
q0_100,536.282,3.500
face_000,545.731,1.705
q0_000,548.423,3.500
face_025,553.513,3.192
q0_025,557.949,3.500
