event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_050,60.000,2.064
q0_050,63.077,3.500
face_025,72.526,3.449
q0_025,77.167,3.500
face_100,85.308,3.192
q0_100,89.667,3.500
face_075,94.756,3.397
q0_075,98.987,3.500
face_000,105.821,1.910
q0_000,108.282,3.500
prompt,118.167,5.000
face_075,123.167,1.962
q1_075,125.833,3.500
face_050,132.449,3.090
q1_050,136.218,3.500
face_025,146.974,2.013
q1_025,150.359,3.500
face_000,155.885,3.141
q1_000,160.244,3.500
face_100,165.115,2.782
q1_100,168.936,3.500
prompt,177.513,5.000
face_075,182.513,2.423
q1_075,185.462,3.500
face_050,191.423,3.500
q1_050,195.885,3.500
face_025,205.551,2.218
q1_025,208.372,3.500
face_100,215.641,3.346
q1_100,220.077,3.500
face_000,231.705,2.474
q1_000,235.038,3.500
prompt,240.782,5.000
face_025,245.782,2.679
q0_025,249.115,3.500
face_075,255.295,3.295
q0_075,259.859,3.500
face_050,272.359,3.244
q0_050,276.410,3.500
face_100,288.474,2.833
q0_100,292.603,3.500
face_000,302.705,2.372
q0_000,306.218,3.500
prompt,310.218,5.000
face_050,315.218,2.167
q0_050,318.705,3.500
face_025,326.628,2.936
q0_025,330.987,3.500
face_000,340.218,2.987
q0_000,343.936,3.500
face_100,354.910,2.885
q0_100,359.141,3.500
face_075,365.538,1.500
q0_075,367.821,3.500
prompt,372.474,5.000
face_100,377.474,1.705
q1_100,379.936,3.500
face_050,387.423,3.038
q1_050,391.859,3.500
face_075,396.077,1.603
q1_075,398.308,3.500
face_000,403.615,2.577
q1_000,406.769,3.500
face_025,415.128,1.808
q1_025,418.051,3.500
prompt,429.244,5.000
face_025,434.244,2.321
q1_025,437.628,3.500
face_075,449.038,1.859
q1_075,451.397,3.500
face_000,458.449,1.756
q1_000,461.192,3.500
face_100,469.987,2.526
q1_100,473.987,3.500
face_050,486.269,2.269
q1_050,489.987,3.500
prompt,501.833,5.000
face_075,506.833,2.731
q0_075,510.808,3.500
face_000,518.513,1.551
q0_000,520.974,3.500
face_025,531.513,2.628
q0_025,535.077,3.500
face_050,545.397,2.115
q0_050,549.013,3.500
face_100,558.026,1.654
q0_100,560.564,3.500
