event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_075,60.000,2.679
q1_075,63.231,3.500
face_000,73.333,1.551
q1_000,75.462,3.500
face_050,80.333,3.295
q1_050,84.462,3.500
face_100,95.436,2.885
q1_100,99.692,3.500
face_025,106.744,2.731
q1_025,110.821,3.500
prompt,117.436,5.000
face_075,122.436,3.244
q0_075,126.308,3.500
face_000,136.628,2.064
q0_000,139.782,3.500
face_050,144.000,3.192
q0_050,148.051,3.500
face_100,155.538,3.500
q0_100,160.077,3.500
face_025,168.436,1.500
q0_025,171.410,3.500
prompt,182.167,5.000
face_000,187.167,3.397
q1_000,191.859,3.500
face_050,196.513,3.141
q1_050,201.077,3.500
face_075,210.744,2.987
q1_075,214.436,3.500
face_100,226.936,2.115
q1_100,230.115,3.500
face_025,234.115,2.423
q1_025,237.705,3.500
prompt,247.590,5.000
face_050,252.590,2.321
q0_050,255.436,3.500
face_025,262.269,1.962
q0_025,265.218,3.500
face_075,276.410,2.833
q0_075,280.436,3.500
face_100,289.667,1.654
q0_100,292.538,3.500
face_000,303.077,3.346
q0_000,306.923,3.500
prompt,312.885,5.000
face_050,317.885,2.628
q1_050,321.756,3.500
face_100,326.192,2.782
q1_100,329.910,3.500
face_075,338.923,2.372
q1_075,341.949,3.500
face_000,348.346,2.013
q1_000,351.090,3.500
face_025,356.833,2.269
q1_025,360.064,3.500
prompt,367.769,5.000
face_075,372.769,2.577
q0_075,376.256,3.500
face_000,383.526,3.090
q0_000,387.731,3.500
face_100,396.308,2.936
q0_100,400.641,3.500
face_050,412.269,3.038
q0_050,416.577,3.500
face_025,422.756,1.756
q0_025,425.321,3.500
prompt,433.462,5.000
face_000,438.462,1.910
q1_000,441.154,3.500
face_100,446.462,1.859
q1_100,449.769,3.500
face_025,462.051,2.474
q1_025,465.667,3.500
face_075,474.462,2.526
q1_075,477.872,3.500
face_050,487.321,1.705
q1_050,490.038,3.500
prompt,495.128,5.000
face_075,500.128,1.808
q0_075,502.692,3.500
face_000,514.538,1.603
q0_000,516.821,3.500
face_050,522.346,2.218
q0_050,526.064,3.500
face_025,533.987,3.449
q0_025,538.038,3.500
face_100,549.449,2.167
q0_100,552.936,3.500
