event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_050,60.000,3.346
q1_050,64.308,3.500
face_025,70.487,3.244
q1_025,75.103,3.500
face_100,84.987,1.808
q1_100,87.372,3.500
face_075,94.859,1.551
q1_075,97.192,3.500
face_000,104.897,2.115
q1_000,107.615,3.500
prompt,112.923,5.000
face_100,117.923,2.321
q0_100,120.897,3.500
face_050,132.526,2.628
q0_050,136.295,3.500
face_025,144.436,2.423
q0_025,147.487,3.500
face_075,157.590,1.962
q0_075,160.615,3.500
face_000,164.615,2.833
q0_000,168.385,3.500
prompt,179.577,5.000
face_050,184.577,2.218
q1_050,187.654,3.500
face_100,194.269,1.500
q1_100,196.526,3.500
face_000,207.936,1.910
q1_000,210.397,3.500
face_025,215.923,1.756
q1_025,218.667,3.500
face_075,223.103,3.192
q1_075,227.487,3.500
prompt,233.449,5.000
face_050,238.449,2.064
q0_050,241.962,3.500
face_100,246.615,2.577
q0_100,250.462,3.500
face_075,261.436,2.885
q0_075,265.154,3.500
face_025,270.897,2.936
q0_025,274.538,3.500
face_000,279.410,1.859
q0_000,282.487,3.500
prompt,291.500,5.000
face_000,296.500,1.705
q0_000,299.090,3.500
face_050,307.667,2.526
q0_050,311.692,3.500
face_075,322.449,2.782
q0_075,326.321,3.500
face_100,338.385,3.090
q0_100,342.897,3.500
face_025,347.115,3.397
q0_025,351.526,3.500
prompt,362.064,5.000
face_025,367.064,3.500
q1_025,371.372,3.500
face_050,378.641,2.372
q1_050,381.513,3.500
face_100,389.872,3.038
q1_100,394.385,3.500
face_075,403.833,2.474
q1_075,407.551,3.500
face_000,420.051,2.013
q1_000,422.744,3.500
prompt,431.974,5.000
face_100,436.974,2.987
q0_100,441.256,3.500
face_050,447.654,2.269
q0_050,451.269,3.500
face_075,460.064,2.167
q0_075,463.397,3.500
face_000,471.321,1.654
q0_000,474.013,3.500
face_025,483.679,2.679
q0_025,487.090,3.500
prompt,493.923,5.000
face_050,498.923,3.295
q1_050,503.333,3.500
face_000,508.423,2.731
q1_000,512.474,3.500
face_025,519.526,3.449
q1_025,523.885,3.500
face_075,534.205,1.603
q1_075,536.333,3.500
face_100,548.615,3.141
q1_100,553.154,3.500
