event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_100,60.000,1.962
q0_100,62.487,3.500
face_050,71.718,1.551
q0_050,74.718,3.500
face_000,86.782,2.833
q0_000,90.346,3.500
face_025,101.321,3.038
q0_025,104.859,3.500
face_075,109.295,1.500
q0_075,111.705,3.500
prompt,118.538,5.000
face_025,123.538,2.987
q1_025,127.718,3.500
face_100,138.038,2.679
q1_100,142.013,3.500
face_000,150.154,3.141
q1_000,154.000,3.500
face_050,159.090,1.705
q1_050,162.269,3.500
face_075,167.141,2.013
q1_075,170.500,3.500
prompt,174.718,5.000
face_025,179.718,2.628
q1_025,183.026,3.500
face_100,193.782,1.859
q1_100,196.705,3.500
face_050,200.705,1.654
q1_050,203.244,3.500
face_075,208.551,3.090
q1_075,212.474,3.500
face_000,223.885,3.346
q1_000,228.321,3.500
prompt,240.821,5.000
face_025,245.821,2.731
q0_025,249.718,3.500
face_100,257.423,3.449
q0_100,261.885,3.500
face_050,271.987,1.808
q0_050,274.910,3.500
face_000,282.397,1.910
q0_000,285.269,3.500
face_075,291.013,2.577
q0_075,294.449,3.500
prompt,303.244,5.000
face_075,308.244,2.218
q1_075,311.090,3.500
face_100,321.628,2.885
q1_100,325.449,3.500
face_050,332.718,3.500
q1_050,337.538,3.500
face_000,343.718,2.167
q1_000,347.103,3.500
face_025,353.500,2.064
q1_025,356.603,3.500
prompt,364.962,5.000
face_050,369.962,1.603
q0_050,372.141,3.500
face_000,380.718,2.423
q0_000,383.744,3.500
face_100,395.372,2.269
q0_100,398.397,3.500
face_025,410.244,3.295
q0_025,414.526,3.500
face_075,421.141,3.192
q0_075,425.756,3.500
prompt,431.718,5.000
face_000,436.718,2.372
q0_000,440.462,3.500
face_025,449.910,2.526
q0_025,453.705,3.500
face_075,463.590,2.321
q0_075,467.308,3.500
face_050,479.590,2.782
q0_050,483.615,3.500
face_100,492.628,3.244
q0_100,496.526,3.500
prompt,501.179,5.000
face_025,506.179,3.397
q1_025,510.359,3.500
face_000,518.282,1.756
q1_000,521.538,3.500
face_050,527.064,2.115
q1_050,529.731,3.500
face_100,539.397,2.474
q1_100,542.679,3.500
face_075,553.872,2.936
q1_075,557.949,3.500
