event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_025,60.000,2.423
q1_025,63.692,3.500
face_050,74.231,3.038
q1_050,78.641,3.500
face_075,89.833,3.192
q1_075,94.064,3.500
face_000,100.897,2.833
q1_000,104.333,3.500
face_100,108.551,3.346
q1_100,112.705,3.500
prompt,118.449,5.000
face_100,123.449,2.679
q0_100,127.244,3.500
face_050,139.526,2.013
q0_050,142.167,3.500
face_025,150.744,3.090
q0_025,154.538,3.500
face_000,160.064,1.705
q0_000,162.833,3.500
face_075,167.705,3.295
q0_075,172.474,3.500
prompt,182.359,5.000
face_075,187.359,1.910
q0_075,190.205,3.500
face_025,201.833,1.551
q0_025,203.910,3.500
face_050,212.923,2.936
q0_050,217.256,3.500
face_000,223.654,2.064
q0_000,226.962,3.500
face_100,231.397,2.577
q0_100,234.756,3.500
prompt,242.026,5.000
face_075,247.026,3.449
q1_075,251.974,3.500
face_025,260.769,1.603
q1_025,263.590,3.500
face_100,273.256,3.244
q1_100,277.667,3.500
face_000,284.718,3.500
q1_000,289.359,3.500
face_050,296.846,2.474
q1_050,300.513,3.500
prompt,305.821,5.000
face_025,310.821,2.218
q0_025,313.692,3.500
face_075,325.103,1.808
q0_075,327.923,3.500
face_000,334.103,2.731
q0_000,337.590,3.500
face_100,345.513,3.141
q0_100,349.615,3.500
face_050,358.846,2.321
q0_050,362.000,3.500
prompt,370.141,5.000
face_075,375.141,1.962
q1_075,378.192,3.500
face_100,386.551,2.885
q1_100,390.782,3.500
face_050,395.872,2.987
q1_050,400.179,3.500
face_000,407.885,2.115
q1_000,410.859,3.500
face_025,414.859,1.859
q1_025,418.141,3.500
prompt,422.795,5.000
face_075,427.795,2.526
q0_075,430.821,3.500
face_050,440.269,2.628
q0_050,443.808,3.500
face_000,456.308,1.654
q0_000,458.846,3.500
face_025,464.808,1.756
q0_025,468.013,3.500
face_100,478.987,2.167
q0_100,481.731,3.500
prompt,493.577,5.000
face_075,498.577,1.500
q1_075,500.808,3.500
face_050,507.423,2.372
q1_050,510.474,3.500
face_025,522.538,3.397
q1_025,526.923,3.500
face_100,537.244,2.782
q1_100,541.321,3.500
face_000,551.423,2.269
q1_000,554.244,3.500
