event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_075,60.000,2.321
q0_075,63.692,3.500
face_025,69.654,3.192
q0_025,74.038,3.500
face_100,79.346,2.167
q0_100,82.192,3.500
face_050,88.590,1.551
q0_050,91.282,3.500
face_000,97.462,3.397
q0_000,102.308,3.500
prompt,109.577,5.000
face_025,114.577,2.679
q1_025,117.808,3.500
face_050,126.385,2.577
q1_050,129.795,3.500
face_000,136.628,1.500
q1_000,139.628,3.500
face_100,150.821,2.115
q1_100,153.462,3.500
face_075,157.897,2.064
q1_075,161.231,3.500
prompt,173.077,5.000
face_025,178.077,2.936
q0_025,182.333,3.500
face_000,190.692,3.500
q0_000,195.410,3.500
face_050,207.474,2.013
q0_050,210.654,3.500
face_075,216.397,1.910
q0_075,218.885,3.500
face_100,223.538,2.987
q0_100,227.026,3.500
prompt,236.038,5.000
face_025,241.038,2.833
q1_025,244.628,3.500
face_000,248.846,1.808
q1_000,251.462,3.500
face_100,263.744,1.603
q1_100,265.949,3.500
face_050,270.821,1.962
q1_050,273.821,3.500
face_075,284.359,3.090
q1_075,288.308,3.500
prompt,293.397,5.000
face_075,298.397,3.244
q0_075,303.064,3.500
face_050,310.987,2.731
q0_050,314.679,3.500
face_000,324.564,2.526
q0_000,327.744,3.500
face_025,338.500,3.141
q0_025,342.885,3.500
face_100,353.205,3.295
q0_100,357.436,3.500
prompt,368.410,5.000
face_050,373.410,3.449
q1_050,378.256,3.500
face_000,387.051,1.859
q1_000,389.821,3.500
face_100,401.231,2.782
q1_100,405.026,3.500
face_025,413.167,1.705
q1_025,416.346,3.500
face_075,420.346,2.628
q1_075,423.962,3.500
prompt,431.013,5.000
face_075,436.013,2.885
q0_075,439.628,3.500
face_025,451.256,2.474
q0_025,454.795,3.500
face_000,467.295,2.423
q0_000,470.808,3.500
face_100,480.038,1.654
q0_100,483.038,3.500
face_050,492.487,2.269
q0_050,495.872,3.500
prompt,503.359,5.000
face_000,508.359,3.038
q1_000,512.692,3.500
face_075,518.218,2.218
q1_075,521.321,3.500
face_025,531.423,2.372
q1_025,534.577,3.500
face_050,541.192,3.346
q1_050,545.244,3.500
face_100,552.949,1.756
q1_100,555.333,3.500
