event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_100,60.000,2.936
q1_100,64.231,3.500
face_025,76.731,2.526
q1_025,80.756,3.500
face_050,93.038,3.295
q1_050,96.936,3.500
face_075,105.295,2.474
q1_075,108.526,3.500
face_000,114.705,1.603
q1_000,116.885,3.500
prompt,125.026,5.000
face_075,130.026,1.551
q0_075,132.103,3.500
face_050,142.205,3.192
q0_050,146.641,3.500
face_025,153.692,2.885
q0_025,157.615,3.500
face_100,169.244,3.090
q0_100,173.064,3.500
face_000,177.936,1.910
q0_000,180.987,3.500
prompt,191.744,5.000
face_050,196.744,1.500
q1_050,199.615,3.500
face_075,209.282,3.244
q1_075,213.513,3.500
face_000,222.090,2.731
q1_000,225.987,3.500
face_100,229.987,3.397
q1_100,234.474,3.500
face_025,245.667,3.141
q1_025,249.641,3.500
prompt,261.051,5.000
face_075,266.051,1.654
q0_075,268.359,3.500
face_100,276.282,2.372
q0_100,279.538,3.500
face_000,285.064,2.423
q0_000,288.346,3.500
face_025,293.654,1.756
q0_025,296.526,3.500
face_050,302.923,2.269
q0_050,305.872,3.500
prompt,312.487,5.000
face_000,317.487,1.962
q0_000,320.769,3.500
face_100,325.205,2.167
q0_100,328.436,3.500
face_050,335.269,2.628
q0_050,339.346,3.500
face_025,344.436,1.808
q0_025,346.744,3.500
face_075,355.756,2.577
q0_075,359.679,3.500
prompt,370.654,5.000
face_050,375.654,3.346
q1_050,380.423,3.500
face_075,390.308,2.013
q1_075,393.256,3.500
face_000,403.795,2.679
q1_000,407.667,3.500
face_025,415.154,2.064
q1_025,417.923,3.500
face_100,428.244,2.115
q1_100,430.910,3.500
prompt,442.974,5.000
face_075,447.974,2.782
q0_075,451.667,3.500
face_025,459.372,1.705
q0_025,462.346,3.500
face_050,471.141,3.038
q0_050,474.987,3.500
face_000,480.949,2.218
q0_000,484.128,3.500
face_100,495.974,2.987
q0_100,500.359,3.500
prompt,504.577,5.000
face_075,509.577,2.833
q1_075,513.885,3.500
face_025,523.115,1.859
q1_025,525.987,3.500
face_050,533.256,2.321
q1_050,536.205,3.500
face_000,540.859,3.449
q1_000,545.526,3.500
face_100,551.269,3.500
q1_100,555.551,3.500
