event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_050,60.000,2.013
q1_050,63.256,3.500
face_000,71.397,2.577
q1_000,74.936,3.500
face_100,79.372,3.141
q1_100,83.603,3.500
face_075,93.923,3.295
q1_075,98.000,3.500
face_025,105.051,2.782
q1_025,109.154,3.500
prompt,116.859,5.000
face_100,121.859,3.346
q0_100,126.551,3.500
face_025,131.205,3.038
q0_025,135.641,3.500
face_075,142.910,1.808
q0_075,145.628,3.500
face_000,151.808,2.269
q0_000,155.090,3.500
face_050,162.577,3.449
q0_050,167.397,3.500
prompt,176.628,5.000
face_025,181.628,1.910
q1_025,185.038,3.500
face_050,191.000,2.987
q1_050,195.436,3.500
face_075,199.654,2.064
q1_075,202.269,3.500
face_000,214.333,2.321
q1_000,217.487,3.500
face_100,225.410,1.654
q1_100,228.051,3.500
prompt,238.808,5.000
face_100,243.808,3.500
q0_100,248.474,3.500
face_075,259.667,3.090
q0_075,263.436,3.500
face_050,268.962,2.628
q0_050,273.013,3.500
face_025,278.321,2.218
q0_025,281.577,3.500
face_000,291.026,1.500
q0_000,293.821,3.500
prompt,297.821,5.000
face_100,302.821,2.372
q0_100,306.128,3.500
face_025,312.962,1.859
q0_025,315.628,3.500
face_050,327.256,2.679
q0_050,330.564,3.500
face_075,343.064,2.167
q0_075,346.500,3.500
face_000,352.244,2.115
q0_000,355.551,3.500
prompt,364.564,5.000
face_025,369.564,2.423
q1_025,372.744,3.500
face_075,381.103,1.756
q1_075,383.436,3.500
face_000,393.321,3.244
q1_000,397.628,3.500
face_050,407.731,2.833
q1_050,411.269,3.500
face_100,417.667,1.551
q1_100,420.436,3.500
prompt,425.526,5.000
face_025,430.526,2.885
q0_025,433.910,3.500
face_075,445.321,3.192
q0_075,449.987,3.500
face_050,458.782,1.705
q0_050,461.013,3.500
face_000,470.679,2.936
q0_000,474.346,3.500
face_100,485.321,1.962
q0_100,488.167,3.500
prompt,498.705,5.000
face_075,503.705,2.731
q1_075,507.038,3.500
face_100,518.885,2.526
q1_100,522.551,3.500
face_000,529.167,3.397
q1_000,533.679,3.500
face_050,542.256,1.603
q1_050,544.513,3.500
face_025,549.385,2.474
q1_025,552.718,3.500
