event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_100,60.000,2.372
q0_100,63.615,3.500
face_025,69.795,2.474
q0_025,72.923,3.500
face_000,77.577,1.808
q0_000,80.218,3.500
face_050,86.833,1.603
q0_050,89.705,3.500
face_075,97.410,3.090
q0_075,101.641,3.500
prompt,110.218,5.000
face_100,115.218,2.167
q1_100,118.141,3.500
face_050,124.538,3.500
q1_050,129.128,3.500
face_000,138.577,1.500
q1_000,140.577,3.500
face_075,149.808,2.885
q1_075,153.577,3.500
face_025,159.103,2.679
q1_025,163.077,3.500
prompt,167.949,5.000
face_050,172.949,1.859
q0_050,176.282,3.500
face_025,188.782,2.013
q0_025,191.577,3.500
face_075,198.846,3.397
q0_075,203.436,3.500
face_000,214.846,3.192
q0_000,219.538,3.500
face_100,229.641,2.731
q0_100,233.077,3.500
prompt,243.833,5.000
face_025,248.833,1.551
q1_025,251.500,3.500
face_075,255.718,1.756
q1_075,258.000,3.500
face_000,266.795,1.654
q1_000,269.000,3.500
face_100,274.308,2.833
q1_100,277.718,3.500
face_050,283.462,3.038
q1_050,287.872,3.500
prompt,296.231,5.000
face_050,301.231,3.244
q1_050,305.538,3.500
face_100,312.590,2.526
q1_100,315.923,3.500
face_025,323.410,2.577
q1_025,326.974,3.500
face_000,338.603,3.346
q1_000,343.346,3.500
face_075,347.346,2.218
q1_075,350.987,3.500
prompt,359.128,5.000
face_050,364.128,2.115
q0_050,366.872,3.500
face_075,371.962,1.910
q0_075,374.782,3.500
face_000,385.756,2.269
q0_000,389.064,3.500
face_025,399.603,2.423
q0_025,402.705,3.500
face_100,413.026,2.628
q0_100,416.385,3.500
prompt,424.308,5.000
face_025,429.308,2.987
q1_025,432.897,3.500
face_100,445.179,3.295
q1_100,449.487,3.500
face_000,461.333,1.962
q1_000,464.231,3.500
face_050,474.115,2.321
q1_050,477.295,3.500
face_075,488.487,2.936
q1_075,492.872,3.500
prompt,497.308,5.000
face_100,502.308,3.449
q0_100,507.103,3.500
face_025,516.769,2.782
q0_025,520.872,3.500
face_000,529.885,2.064
q0_000,533.167,3.500
face_050,539.128,1.705
q0_050,541.795,3.500
face_075,553.859,3.141
q0_075,558.167,3.500
