event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_075,60.000,2.885
q1_075,63.795,3.500
face_100,69.321,3.192
q1_100,73.628,3.500
face_050,85.256,1.962
q1_050,88.462,3.500
face_000,97.692,1.859
q1_000,101.026,3.500
face_025,110.038,1.808
q1_025,113.269,3.500
prompt,125.115,5.000
face_025,130.115,1.500
q0_025,132.705,3.500
face_100,143.244,1.603
q0_100,145.910,3.500
face_000,150.346,2.526
q0_000,153.910,3.500
face_075,159.654,3.038
q0_075,163.628,3.500
face_050,167.628,1.756
q0_050,170.167,3.500
prompt,182.449,5.000
face_025,187.449,2.577
q0_025,190.603,3.500
face_100,195.910,3.346
q0_100,200.577,3.500
face_000,208.936,2.679
q0_000,212.628,3.500
face_075,218.590,2.628
q0_075,222.205,3.500
face_050,231.872,2.218
q0_050,235.538,3.500
prompt,246.513,5.000
face_075,251.513,1.654
q1_075,253.872,3.500
face_050,263.756,3.449
q1_050,267.962,3.500
face_025,275.013,3.397
q1_025,279.910,3.500
face_100,288.487,2.731
q1_100,292.051,3.500
face_000,296.705,2.115
q1_000,300.218,3.500
prompt,308.359,5.000
face_025,313.359,2.064
q1_025,316.308,3.500
face_050,321.179,1.910
q1_050,324.282,3.500
face_075,331.551,2.269
q1_075,335.167,3.500
face_000,344.615,1.705
q1_000,347.128,3.500
face_100,353.744,2.423
q1_100,356.846,3.500
prompt,367.167,5.000
face_075,372.167,2.167
q0_075,375.295,3.500
face_025,383.000,3.141
q0_025,386.744,3.500
face_100,393.141,3.244
q0_100,397.244,3.500
face_050,408.654,2.474
q0_050,411.628,3.500
face_000,419.551,2.372
q0_000,422.449,3.500
prompt,426.667,5.000
face_075,431.667,3.090
q0_075,435.410,3.500
face_000,447.910,2.833
q0_000,452.038,3.500
face_025,458.872,1.551
q0_025,461.154,3.500
face_050,471.910,2.782
q0_050,475.962,3.500
face_100,487.154,2.936
q0_100,491.462,3.500
prompt,501.564,5.000
face_100,506.564,3.295
q1_100,511.000,3.500
face_050,518.487,2.321
q1_050,521.436,3.500
face_000,533.500,2.987
q1_000,537.038,3.500
face_075,543.218,3.500
q1_075,547.885,3.500
face_025,552.974,2.013
q1_025,556.205,3.500
