event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_100,60.000,2.423
q1_100,63.487,3.500
face_075,69.449,2.731
q1_075,73.397,3.500
face_000,81.321,2.577
q1_000,85.321,3.500
face_050,91.936,1.551
q1_050,94.782,3.500
face_025,102.923,3.090
q1_025,107.179,3.500
prompt,115.538,5.000
face_000,120.538,3.449
q0_000,125.231,3.500
face_050,135.769,1.603
q0_050,138.359,3.500
face_075,143.231,2.115
q0_075,146.154,3.500
face_025,157.128,2.167
q0_025,160.795,3.500
face_100,164.795,3.500
q0_100,169.641,3.500
prompt,178.872,5.000
face_100,183.872,3.244
q0_100,188.436,3.500
face_075,198.103,3.346
q0_075,202.564,3.500
face_050,209.833,2.885
q0_050,213.679,3.500
face_025,218.115,3.397
q0_025,222.192,3.500
face_000,232.295,2.987
q0_000,235.833,3.500
prompt,242.013,5.000
face_075,247.013,2.321
q1_075,249.936,3.500
face_025,257.423,3.038
q1_025,261.372,3.500
face_050,272.782,2.782
q1_050,276.141,3.500
face_000,287.769,1.962
q1_000,290.256,3.500
face_100,294.910,1.654
q1_100,297.064,3.500
prompt,307.385,5.000
face_050,312.385,1.859
q1_050,315.385,3.500
face_000,322.218,2.936
q1_000,326.090,3.500
face_100,331.615,3.295
q1_100,336.000,3.500
face_075,341.744,2.372
q1_075,344.949,3.500
face_025,357.231,1.910
q1_025,359.769,3.500
prompt,372.269,5.000
face_025,377.269,1.705
q0_025,380.423,3.500
face_100,385.731,3.192
q0_100,389.654,3.500
face_000,393.872,2.218
q0_000,397.103,3.500
face_075,404.154,1.500
q0_075,406.308,3.500
face_050,416.192,1.756
q0_050,419.218,3.500
prompt,426.923,5.000
face_050,431.923,2.679
q1_050,435.974,3.500
face_025,448.038,2.526
q1_025,451.962,3.500
face_000,461.410,1.808
q1_000,463.923,3.500
face_075,472.500,2.013
q1_075,475.397,3.500
face_100,487.244,3.141
q1_100,491.141,3.500
prompt,501.897,5.000
face_075,506.897,2.628
q0_075,510.718,3.500
face_050,519.731,2.269
q0_050,522.859,3.500
face_000,529.256,2.833
q0_000,533.128,3.500
face_025,544.321,2.064
q0_025,547.167,3.500
face_100,552.256,2.474
q0_100,556.205,3.500
