event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_025,60.000,1.962
q0_025,63.103,3.500
face_075,75.603,3.500
q0_075,79.705,3.500
face_000,85.667,2.782
q0_000,89.487,3.500
face_050,95.667,2.269
q0_050,98.744,3.500
face_100,103.179,2.679
q0_100,107.205,3.500
prompt,114.256,5.000
face_075,119.256,1.603
q1_075,122.128,3.500
face_050,130.705,2.218
q1_050,133.885,3.500
face_100,141.590,2.936
q1_100,145.949,3.500
face_025,151.692,3.192
q1_025,155.974,3.500
face_000,165.859,2.833
q1_000,170.167,3.500
prompt,180.487,5.000
face_075,185.487,3.397
q0_075,190.051,3.500
face_025,202.333,2.885
q0_025,205.897,3.500
face_050,216.872,2.987
q0_050,221.308,3.500
face_100,232.500,2.321
q0_100,235.808,3.500
face_000,245.256,2.423
q0_000,248.538,3.500
prompt,253.628,5.000
face_075,258.628,3.295
q1_075,262.936,3.500
face_050,266.936,2.372
q1_050,269.808,3.500
face_025,281.872,1.500
q1_025,284.615,3.500
face_000,288.833,1.654
q1_000,291.269,3.500
face_100,302.897,2.167
q1_100,305.692,3.500
prompt,310.346,5.000
face_075,315.346,3.449
q1_075,319.449,3.500
face_025,326.936,1.808
q1_025,329.449,3.500
face_000,339.987,3.346
q1_000,344.269,3.500
face_050,352.192,1.910
q1_050,355.500,3.500
face_100,366.256,2.731
q1_100,369.872,3.500
prompt,375.397,5.000
face_075,380.397,3.090
q0_075,384.064,3.500
face_025,395.910,2.115
q0_025,398.859,3.500
face_000,408.526,1.705
q0_000,411.141,3.500
face_100,422.551,1.551
q0_100,425.218,3.500
face_050,434.231,3.141
q0_050,438.692,3.500
prompt,447.923,5.000
face_000,452.923,1.756
q1_000,455.436,3.500
face_075,464.231,3.244
q1_075,468.692,3.500
face_100,475.308,2.526
q1_100,479.333,3.500
face_050,489.436,2.577
q1_050,493.385,3.500
face_025,498.256,2.474
q1_025,501.462,3.500
prompt,509.603,5.000
face_025,514.603,1.859
q0_025,517.013,3.500
face_000,522.321,2.013
q0_000,525.628,3.500
face_100,532.026,2.064
q0_100,534.615,3.500
face_075,542.974,3.038
q0_075,547.205,3.500
face_050,554.474,2.628
q0_050,558.167,3.500
