event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_000,60.000,1.808
q1_000,62.718,3.500
face_025,70.423,2.064
q1_025,73.628,3.500
face_100,83.077,3.346
q1_100,87.487,3.500
face_075,97.372,1.551
q1_075,99.474,3.500
face_050,104.128,3.295
q1_050,108.744,3.500
prompt,120.808,5.000
face_000,125.808,3.038
q0_000,129.808,3.500
face_100,138.167,2.679
q0_100,142.013,3.500
face_025,147.756,3.244
q0_025,152.013,3.500
face_050,157.538,1.603
q0_050,160.256,3.500
face_075,172.103,2.526
q0_075,175.821,3.500
prompt,188.103,5.000
face_075,193.103,1.500
q1_075,195.333,3.500
face_025,199.769,2.423
q1_025,202.821,3.500
face_050,212.923,2.372
q1_050,215.795,3.500
face_000,226.115,2.885
q1_000,230.372,3.500
face_100,241.782,2.321
q1_100,245.038,3.500
prompt,251.872,5.000
face_025,256.872,2.115
q0_025,259.564,3.500
face_100,269.231,2.987
q0_100,273.000,3.500
face_000,284.192,2.577
q0_000,288.218,3.500
face_050,296.795,1.654
q0_050,299.667,3.500
face_075,310.641,3.192
q0_075,314.692,3.500
prompt,319.782,5.000
face_050,324.782,1.962
q0_050,327.782,3.500
face_100,334.397,2.167
q0_100,337.987,3.500
face_075,347.218,1.756
q0_075,349.782,3.500
face_025,360.321,1.859
q0_025,362.859,3.500
face_000,371.000,2.731
q0_000,374.564,3.500
prompt,380.744,5.000
face_075,385.744,3.500
q1_075,390.000,3.500
face_000,397.923,2.474
q1_000,401.282,3.500
face_100,408.551,2.833
q1_100,412.474,3.500
face_050,419.962,1.910
q1_050,423.372,3.500
face_025,427.372,3.090
q1_025,431.167,3.500
prompt,437.564,5.000
face_075,442.564,2.218
q1_075,446.051,3.500
face_100,456.808,3.397
q1_100,461.679,3.500
face_000,466.987,3.449
q1_000,471.423,3.500
face_050,478.474,3.141
q1_050,482.218,3.500
face_025,488.179,2.013
q1_025,490.846,3.500
prompt,503.346,5.000
face_075,508.346,2.269
q0_075,511.859,3.500
face_025,520.654,2.628
q0_025,524.577,3.500
face_100,536.205,1.705
q0_100,538.436,3.500
face_000,547.449,2.936
q0_000,551.782,3.500
face_050,556.000,2.782
q0_050,560.128,3.500
