event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_000,60.000,2.782
q0_000,63.615,3.500
face_075,71.756,2.936
q0_075,75.372,3.500
face_025,81.769,1.500
q0_025,84.436,3.500
face_050,94.974,1.603
q0_050,97.667,3.500
face_100,110.167,1.756
q0_100,113.192,3.500
prompt,121.769,5.000
face_000,126.769,3.500
q1_000,131.769,3.500
face_100,142.090,2.115
q1_100,145.244,3.500
face_075,157.090,3.295
q1_075,161.782,3.500
face_025,173.410,2.218
q1_025,176.436,3.500
face_050,180.872,1.808
q1_050,183.897,3.500
prompt,191.385,5.000
face_100,196.385,1.654
q0_100,199.385,3.500
face_025,208.179,3.449
q0_025,212.282,3.500
face_000,217.590,1.962
q0_000,220.462,3.500
face_050,229.692,2.372
q0_050,233.308,3.500
face_075,241.667,3.192
q0_075,246.179,3.500
prompt,256.064,5.000
face_025,261.064,2.731
q1_025,264.679,3.500
face_075,271.731,2.577
q1_075,275.244,3.500
face_050,284.692,2.321
q1_050,288.128,3.500
face_000,297.795,3.141
q1_000,301.692,3.500
face_100,312.449,2.679
q1_100,315.910,3.500
prompt,322.744,5.000
face_050,327.744,2.628
q1_050,330.949,3.500
face_025,343.013,1.705
q1_025,345.910,3.500
face_000,349.910,2.013
q1_000,352.910,3.500
face_075,357.564,3.397
q1_075,361.692,3.500
face_100,372.885,3.346
q1_100,377.244,3.500
prompt,387.346,5.000
face_075,392.346,3.038
q0_075,396.679,3.500
face_050,408.090,1.859
q0_050,410.551,3.500
face_100,416.731,3.090
q0_100,420.372,3.500
face_000,426.987,2.423
q0_000,430.372,3.500
face_025,436.115,2.526
q0_025,440.090,3.500
prompt,444.962,5.000
face_050,449.962,2.833
q0_050,454.167,3.500
face_000,458.385,2.167
q0_000,461.077,3.500
face_100,468.782,1.551
q0_100,470.833,3.500
face_075,478.103,3.244
q0_075,482.769,3.500
face_025,495.051,1.910
q0_025,497.590,3.500
prompt,505.513,5.000
face_075,510.513,2.474
q1_075,514.462,3.500
face_050,523.474,2.987
q1_050,527.167,3.500
face_100,533.128,2.885
q1_100,537.077,3.500
face_000,548.051,2.064
q1_000,550.974,3.500
face_025,556.064,2.269
q1_025,559.474,3.500
